path,kind,rows,best_accuracy,final_accuracy,final_best,final_epoch
output\logs\prune_huston_try\hsi_lidar_osc_0.3_l1_0.001_gama_1.01.csv,csv,300,0.85521,0.7223312588832436,0.85521,
output\logs\prune_huston_try\hsi_lidar_osc_0.4_l1_0.001_gama_1.005.csv,csv,150,0.767812,0.6410608016299326,0.767812,
output\logs\prune_huston_try\hsi_lidar_osc_0.4_l1_0.001_gama_1.01.csv,csv,300,0.871362,0.7542900462206479,0.871362,
output\logs\prune_huston_try\hsi_lidar_osc_0.5_l1_0.001_gama_1.005.csv,csv,150,0.793064,0.6518673345169205,0.793064,
output\logs\prune_huston_try\hsi_lidar_osc_0.5_l1_0.001_gama_1.01.csv,csv,300,0.865377,0.8243471469446425,0.865377,
output\logs\prune_huston_try\hsi_lidar_osc_0.6_l1_0.001_gama_1.005.csv,csv,150,0.810199,0.717096049318387,0.810199,
output\logs\prune_huston_try\hsi_lidar_osc_0.7_l1_0.001_gama_1.0008.csv,csv,150,0.814545,0.7245739049559479,0.814545,
output\logs\prune_huston_try\hsi_lidar_osc_0.7_l1_0.001_gama_1.003.csv,csv,150,0.820448,0.7412420229704338,0.820448,
output\logs\prune_huston_try\hsi_lidar_osc_0.7_l1_0.001_gama_1.005.csv,csv,150,0.847667,0.7448120621826372,0.847667,
output\logs\prune_huston_try\hsi_lidar_osc_0.7_l1_0.001_gama_1.01.csv,csv,400,0.906042,0.8297569048564682,0.906042,
output\logs\prune_huston_try\hsi_lidar_osc_0.7_l1_0.001_gama_1.02.csv,csv,300,0.904977,0.8550461426991582,0.904977,
output\logs\prune_huston_try\hsi_lidar_osc_0.8_l1_0.001_gama_1.005.csv,csv,206,0.884234,0.8746834683479631,0.884234,
output\logs\prune_huston_try\hsi_lidar_osc_0.8_l1_1e-05_gama_1.005.csv,csv,193,0.867754,0.8333614308293792,0.867754,
output\logs\prune_huston_try1\hsi_lidar_osc_0.5_l1_0.001_gama_1.01.csv,csv,80,0.724194,0.655054596826762,0.724194,
output\logs\prune_huston_try1\hsi_lidar_osc_0.7_l1_0.001_gama_1.01.csv,csv,80,0.771747,0.7541600023744053,0.771747,
output\logs\res0\hsi_lidarres0.csv,csv,601,0.793392,0.786915,0.793392,
output\logs\res1\hsi_lidarres1.csv,csv,415,0.830532,0.826515,0.830532,
output\logs\res2\hsi_lidarres2.csv,csv,377,0.885956,0.881282,0.885956,
output\logs\res3\hsi_lidarres3.csv,csv,332,0.883332,0.872674,0.883332,
output\logs\same_weight\hsi_lidarsame_weight.csv,csv,300,0.6989829999999999,0.53423,0.6989829999999999,
output\logs\share_unimodel_center_drop\hsi_lidar_7x7_couple_cross_fc_version_0_labma_unimodal1.0.csv,csv,117,0.893088,0.8649926007131254,0.893088,
output\logs\test_data\hsi_lidartest_data.csv,csv,0,,,,
output\logs\_base\hsi_lidarbase.csv,csv,425,0.882102,0.8684219708397456,0.882102,
output\logs\_dgd\hsi_lidardgd.csv,csv,372,0.893088,0.8718034212806245,0.893088,
output\logs\_dw\hsi_lidardw.csv,csv,330,0.867836,0.8489216318770293,0.867836,
output\logs\_gpt\hsi_lidargpt.csv,csv,304,0.883824,0.8675691302355365,0.883824,
output\logs\_mcl\hsi_lidarmcl.csv,csv,350,0.886775,0.8677541509389127,0.886775,
prune\log\024.out,out,300,0.19283,0.16627,0.19283,299
prune\log\026.out,out,300,0.21817,0.19144,0.21817,299
prune\log\034.out,out,300,0.19324,0.1766,0.19324,299
prune\log\036.out,out,300,0.24244,0.22087,0.24244,299
prune\log\0501.out,out,300,0.75059,0.66402,0.75059,299
prune\log\1001.out,out,300,0.79946,0.68689,0.79946,299
prune\log\104.out,out,300,0.30196,0.25752,0.30196,299
prune\log\106.out,out,300,0.50791,0.40666,0.50791,299
prune\log\108.out,out,300,0.38042,0.32246,0.38042,299
prune\log\156.out,out,300,0.86152,0.84726,0.86152,299
prune\log\158.out,out,300,0.88046,0.86546,0.88046,299
prune\log\204.out,out,300,0.37288,0.30212,0.37288,299
prune\log\206.out,out,300,0.32893,0.27802,0.32893,299
prune\log\208.out,out,300,0.43207,0.3646,0.43207,299
prune\log\256.out,out,300,0.87833,0.87144,0.87833,299
prune\log\258.out,out,300,0.87399,0.86841,0.87399,299
prune\log\306.out,out,300,0.29516,0.25203,0.29516,299
prune\log\308.out,out,300,0.3778,0.30967,0.3778,299
prune\log\35.out,out,300,0.20111,0.15438,0.20111,299
prune\log\37.out,out,300,0.23547,0.21341,0.23547,299
