0.6221086851666483,0.652374,0.6956599604403244,0.6248025496880197,0.722883
0.5592832756176424,0.676396,0.7005027151408193,0.6506400785319525,0.722883
0.5177643500017316,0.740182,0.7637919330968003,0.719325984771917,0.740182
0.4944064389453845,0.709765,0.7345442810964407,0.6869248497986536,0.740182
0.5005192813578616,0.735591,0.7602340653725294,0.7142609658011447,0.740182
0.41782027884815515,0.718127,0.7455903512881527,0.6957266859402924,0.740182
0.44258270873112626,0.70091,0.7386209429955327,0.6775133110649506,0.740182
0.44259490206670227,0.707305,0.7387611853674483,0.6838820531227878,0.740182
0.4166804754667068,0.736739,0.7650383200547517,0.715782775317767,0.740182
0.391669833760583,0.724522,0.7461266810960411,0.70219146385054,0.740182
0.3832373506902309,0.756579,0.7759210043531063,0.7370980170458409,0.756579
0.35897474669003754,0.717963,0.7457840059442022,0.6950422247134931,0.756579
0.33725270880072306,0.727064,0.7558672462618279,0.705402987571134,0.756579
0.3900482202513834,0.759449,0.7790097956041663,0.739905833860952,0.759449
0.305819025953834,0.769452,0.7848079989496832,0.750506526319056,0.769452
0.361269370223699,0.684267,0.7241029124279744,0.6585471908343311,0.769452
0.36337141625666886,0.752316,0.7767837880193104,0.7322846574530466,0.769452
0.3319618817460671,0.75207,0.7789225560578976,0.7323607638667129,0.769452
0.3249032296491473,0.773223,0.7959002795792387,0.7546155216030832,0.773223
0.29128832185871145,0.733295,0.7668292273015607,0.7114798276921964,0.773223
0.3210825180069784,0.698204,0.7480900806785535,0.6745710491796996,0.773223
0.32246452980162055,0.720505,0.7530248722090314,0.6978083544897727,0.773223
0.2970826267526391,0.649504,0.6906124403776818,0.6231323123280219,0.773223
0.3394762594043539,0.725588,0.7543256185606423,0.7034437040809463,0.773223
0.3139334534493725,0.731819,0.7616711224583724,0.7099967092627362,0.773223
0.30190118586414316,0.759285,0.785177138762009,0.7398159208631734,0.773223
0.2824287721782588,0.723457,0.7614520283675604,0.7009966734417751,0.773223
0.29224772257416437,0.761663,0.7986067439113863,0.7423391023921536,0.773223
0.2540907299752985,0.660244,0.7012605989200235,0.6330255153594955,0.773223
0.31755077763554757,0.738132,0.76679782625964,0.7168422075776408,0.773223
0.3173997811554523,0.760269,0.7884091599414685,0.7408782267681058,0.773223
0.2302376138192884,0.785521,0.8032742072234362,0.7677587565768549,0.785521
0.2276236979144343,0.758465,0.7893367611266165,0.7386540134957926,0.785521
0.2049733085578747,0.773879,0.8030604770843417,0.7551384714376328,0.785521
0.18381715934263188,0.781504,0.812221369657561,0.7635507274900092,0.785521
0.2058720522549715,0.760843,0.7935320503210658,0.7411899333828327,0.785521
0.2015863462361727,0.791834,0.8082822131390539,0.7747106322102019,0.791834
0.18568923169474924,0.543494,0.6098328901432375,0.5104742942640019,0.791834
0.3925773313875948,0.696155,0.716540442159173,0.6709670169548753,0.791834
0.3492045153057977,0.747971,0.7725060792320266,0.7273256205513904,0.791834
0.2591782681057962,0.759613,0.788420399694145,0.7399500847666964,0.791834
0.26302615582440675,0.781176,0.8080473810966268,0.7632651001850661,0.791834
0.2493843711661489,0.71206,0.7440368160577658,0.6885746595028325,0.791834
0.24479669847347763,0.781094,0.8094353758951562,0.7633174722184001,0.791834
0.1904928305008438,0.756334,0.7817886624237111,0.7362753178207115,0.791834
0.1894536123851712,0.76937,0.80384160582876,0.7507211220348805,0.791834
0.18093374660343267,0.794294,0.8209526458241369,0.777366599657523,0.794294
0.1698716718159365,0.765024,0.790756668794512,0.7457718608891534,0.794294
0.17059681491319384,0.788391,0.8145485653285994,0.7708801261075,0.794294
0.1792488361844856,0.794294,0.8219784402403262,0.7773973028235651,0.794294
0.16815196586710013,0.787735,0.8148776550076176,0.7702673628189916,0.794294
0.17722324057994934,0.691645,0.7289671724200837,0.6674301182656921,0.794294
