train_epoch,500
batch_size,32
lr,0.001
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
model_name,single_fc_modal_lidar_version_0
log_name,single_fc_modal_lidar_version_0.csv
backbone,single_fc
patch_size,7
data_root,../data/Huston2013
modal,lidar
gpu,1
version,0
name,single_fc_modal_lidar_version_0
0.8054795579963856,0.502501,0.52972
0.8116544930452712,0.532508,0.532508
0.8110339377033576,0.373944,0.532508
0.7999460703871223,0.492662,0.532508
0.790617146518793,0.512339,0.532508
0.7783459702904305,0.503648,0.532508
0.8139667832449581,0.507338,0.532508
0.805330823311645,0.447569,0.532508
0.7630327337243584,0.497089,0.532508
0.7884933710767982,0.465524,0.532508
0.8029671261149846,0.50414,0.532508
0.7596257051055351,0.472821,0.532508
0.8078390463684382,0.507502,0.532508
0.76689503166113,0.530048,0.532508
0.7725477978754579,0.507256,0.532508
0.7954761904946873,0.461343,0.532508
0.7835204872522461,0.418792,0.532508
0.7796911449914568,0.516766,0.532508
0.7716011324625337,0.455194,0.532508
0.779583312822192,0.391736,0.532508
0.7489423778619659,0.528901,0.532508
0.8009855368833864,0.523735,0.532508
0.7673335276292951,0.419283,0.532508
0.7922430045149299,0.485365,0.532508
0.7634319073698493,0.475281,0.532508
0.7609746308808916,0.499139,0.532508
0.798685274767072,0.456342,0.532508
0.7423599824476778,0.508896,0.532508
0.7665379268399785,0.506928,0.532508
0.7808829479003221,0.461343,0.532508
0.759885963429226,0.510535,0.532508
0.7542504872498887,0.528655,0.532508
0.7799867421723483,0.426498,0.532508
0.768372396069966,0.490612,0.532508
0.7458407728189833,0.519226,0.532508
0.7476851461308726,0.468148,0.532508
0.7614916619959842,0.522997,0.532508
0.734331748123919,0.491514,0.532508
0.7389181705003374,0.502829,0.532508
0.7815036134103711,0.459293,0.532508
0.7484229582079341,0.493646,0.532508
0.7702063091015547,0.524801,0.532508
0.7831583136922857,0.459949,0.532508
0.7377547655212745,0.474953,0.532508
0.7640659353706274,0.519718,0.532508
0.7554598410477799,0.410019,0.532508
0.7591612801123201,0.509388,0.532508
0.8014430842372808,0.355825,0.532508
0.7322728811355119,0.45503,0.532508
0.8032194925158211,0.498073,0.532508
0.7661801616797287,0.500041,0.532508
0.7258602109517944,0.507256,0.532508
0.7616217688898023,0.531852,0.532508
0.740423733263873,0.486513,0.532508
0.7395323501544052,0.540953,0.540953
0.7562796101811227,0.52021,0.540953
0.749309568257814,0.463557,0.540953
0.7651997057909377,0.504386,0.540953
0.7324671135859543,0.518078,0.540953
0.7337597698977824,0.485611,0.540953
0.7436187555280964,0.526523,0.540953
0.7527121780963426,0.518898,0.540953
0.7254585118106242,0.484217,0.540953
0.7347967798790235,0.517996,0.540953
0.7201708491598622,0.473067,0.540953
0.7677525151311682,0.536197,0.540953
0.741531506348192,0.468476,0.540953
0.7269731338104505,0.495614,0.540953
0.7456279035364644,0.438141,0.540953
0.7312749014811569,0.475445,0.540953
0.7485474334673935,0.506108,0.540953
0.747323836503404,0.49299,0.540953
0.7430478411444118,0.513405,0.540953
0.732470651356022,0.525539,0.540953
0.715010843919904,0.516193,0.540953
0.7348194098874424,0.542838,0.542838
0.7057399736361557,0.551037,0.551037
0.6952500494008653,0.487497,0.551037
0.7323180038607522,0.524391,0.551037
0.7495055061377837,0.512175,0.551037
0.700263853823201,0.539477,0.551037
0.6976261205887526,0.517996,0.551037
0.7026615675245778,0.508568,0.551037
0.6953098043966829,0.521358,0.551037
0.7157310900393496,0.489629,0.551037
0.7305377309911707,0.463229,0.551037
0.7316116804487249,0.511601,0.551037
0.7065374355637626,0.470608,0.551037
0.7156266925040256,0.516111,0.551037
0.7196742493784829,0.503075,0.551037
0.7297624517022894,0.525457,0.551037
0.7015402163012644,0.530622,0.551037
0.7059839290849278,0.521932,0.551037
0.7043466852622086,0.567189,0.567189
0.7329662723487682,0.473723,0.567189
0.7015137873338849,0.540789,0.567189
0.7403703151124247,0.533656,0.567189
0.6953062184071273,0.545708,0.567189
0.7170337589269273,0.523407,0.567189
0.7047723823049096,0.557514,0.567189
0.7060419260785821,0.502747,0.567189
0.7242940372965309,0.526605,0.567189
0.7150506899597939,0.493974,0.567189
0.6857996415556147,0.536525,0.567189
0.7153178717982903,0.511601,0.567189
0.7087150410319982,0.499303,0.567189
0.6842437055003777,0.521768,0.567189
0.6952665357777242,0.515127,0.567189
0.6984080652172646,0.53546,0.567189
0.7212855209795277,0.553497,0.567189
0.7024693515863312,0.526441,0.567189
0.6785390480850519,0.544642,0.567189
0.7372250376122721,0.561122,0.567189
0.6889917046836253,0.52021,0.567189
0.6750173029604922,0.483316,0.567189
0.7002911159161771,0.520866,0.567189
0.6979996431409643,0.53341,0.567189
0.7101208969448389,0.523489,0.567189
0.6939389350708951,0.519636,0.567189
0.6783511641989933,0.52185,0.567189
0.6695189904630854,0.533,0.567189
0.669793112559265,0.480692,0.567189
0.6758433975530475,0.541035,0.567189
0.701318301846472,0.527179,0.567189
0.670112139053559,0.516193,0.567189
0.6778747446081611,0.551775,0.567189
0.6942999754728896,0.525621,0.567189
0.6803394247976582,0.513405,0.567189
0.6746533245183108,0.537099,0.567189
0.6611542912681451,0.519144,0.567189
0.6511824837561404,0.567681,0.567681
0.6837584861878598,0.551119,0.567681
0.6822611883784948,0.540871,0.567681
0.6791830769415652,0.534968,0.567681
0.670988136462951,0.543658,0.567681
0.675846888777915,0.469542,0.567681
0.696965790866466,0.523325,0.567681
0.7052029284198632,0.505206,0.567681
0.6521091059352575,0.552677,0.567681
0.6677024096585391,0.532262,0.567681
0.6840289151400663,0.516274,0.567681
0.6684387212388971,0.498237,0.567681
0.7170230418108823,0.53095,0.567681
0.7041408262226019,0.537837,0.567681
0.6910582687077897,0.541363,0.567681
0.6755832828832476,0.556366,0.567681
0.6521754713540666,0.509142,0.567681
0.7074907810500498,0.497253,0.567681
0.6656841515155321,0.563335,0.567681
0.7012699169389317,0.555956,0.567681
0.6989843088589357,0.512913,0.567681
0.6761110200640861,0.562269,0.567681
0.6631794022710136,0.53095,0.567681
0.6762890809037713,0.529474,0.567681
0.6620249828595793,0.555137,0.567681
0.665348793013712,0.562761,0.567681
0.6566408249769318,0.489875,0.567681
0.6647348889474118,0.560384,0.567681
0.6833446343963065,0.554071,0.567681
0.6608390151784661,0.541773,0.567681
0.6762339091033078,0.551447,0.567681
0.6717183981718642,0.544724,0.567681
0.6424645744682698,0.539395,0.567681
0.6664503076103296,0.549807,0.567681
0.6555944101864033,0.52021,0.567681
0.6742718306820045,0.519308,0.567681
0.6734421035546935,0.534148,0.567681
0.6785036446003432,0.54579,0.567681
0.6736101561717773,0.556202,0.567681
0.6488419627205709,0.541527,0.567681
0.654969106564361,0.556038,0.567681
0.6485391121901823,0.566451,0.567681
0.6553954411758466,0.556202,0.567681
