0.03188620399411642,0.851931,0.85931
0.02494675104160992,0.858818,0.85931
0.025055296740002845,0.853817,0.85931
0.026088314549474235,0.846766,0.85931
0.028787711486115718,0.850373,0.85931
0.030372590224227208,0.85685,0.85931
0.028085872070508056,0.853489,0.85931
0.028561734599636845,0.85644,0.85931
0.0323385117742955,0.858982,0.85931
0.02819806006684732,0.848487,0.85931
0.029862612464957024,0.8589,0.85931
0.025061450723370307,0.852177,0.85931
0.03258197681371416,0.853407,0.85931
0.031199303319614926,0.855948,0.85931
0.022597704522227972,0.85726,0.85931
0.027140114453799102,0.860457,0.860457
0.026748964243851016,0.845618,0.860457
0.027801757840586177,0.858818,0.860457
0.03202127465151585,0.843486,0.860457
0.03225340214924196,0.85685,0.860457
0.03302973792155723,0.85931,0.860457
0.026150899316613258,0.857014,0.860457
0.02333303333751941,0.856112,0.860457
0.029669695562588867,0.848815,0.860457
0.028115364511005495,0.85603,0.860457
0.025382870065278552,0.854636,0.860457
0.02664615813736919,0.85439,0.860457
0.024228069962661587,0.854308,0.860457
0.030095808608248162,0.849389,0.860457
0.019769472951655476,0.852013,0.860457
0.03124934517558706,0.858408,0.860457
0.028015621121596085,0.857424,0.860457
0.027224062193771093,0.858326,0.860457
0.029311124609490292,0.856604,0.860457
0.019932402564694036,0.857342,0.860457
0.02562431935116314,0.850619,0.860457
0.03014106245899803,0.857342,0.860457
0.027367022976781546,0.855292,0.860457
0.023017674242407922,0.855292,0.860457
0.027808017270074467,0.855456,0.860457
0.023212100530901315,0.856932,0.860457
0.02634532490399865,0.854718,0.860457
0.023703829814376454,0.857096,0.860457
0.02714384257730641,0.854554,0.860457
0.025928860985454213,0.8589,0.860457
0.027632269524351768,0.85972,0.860457
0.023757664523390908,0.858572,0.860457
0.030216220012876424,0.853243,0.860457
0.02331584003712103,0.85726,0.860457
0.026397069832414723,0.857178,0.860457
0.028726999085459313,0.859474,0.860457
0.02608126715830203,0.854554,0.860457
0.024372953309395005,0.861031,0.861031
0.030322136189997864,0.856112,0.861031
0.027691604731750957,0.857178,0.861031
0.023310172405575265,0.8548,0.861031
0.034866574204662874,0.859556,0.861031
0.026603657375560717,0.857014,0.861031
0.022341155483690877,0.858162,0.861031
0.02167849811421854,0.859474,0.861031
0.02125570627473546,0.85849,0.861031
0.025882196379825473,0.85808,0.861031
0.024605154637979826,0.85603,0.861031
0.02195081653418752,0.857588,0.861031
0.021579864319790615,0.856276,0.861031
0.024225941893194665,0.85726,0.861031
0.023088598568934235,0.858162,0.861031
0.025922787438533948,0.852997,0.861031
0.024097159128175692,0.856768,0.861031
0.02427450012352862,0.856604,0.861031
0.02231234681708843,0.858162,0.861031
0.022848189695937077,0.855866,0.861031
0.027493360143657147,0.85603,0.861031
0.027826183760706127,0.856604,0.861031
0.022299716845573334,0.85972,0.861031
0.022294707379167836,0.856604,0.861031
0.024543542574484194,0.855702,0.861031
0.022307037553760442,0.858244,0.861031
0.02528971496425318,0.859146,0.861031
0.02243183996381887,0.858244,0.861031
0.02886610391309087,0.856686,0.861031
0.02969732682293888,0.853243,0.861031
0.02687322705188829,0.857424,0.861031
0.023259003426921502,0.857916,0.861031
0.02069251903782735,0.854472,0.861031
0.021418993049981388,0.858736,0.861031
0.02715286311400489,0.857096,0.861031
0.024599598009097442,0.857014,0.861031
0.0255663721884988,0.85849,0.861031
0.028490024480152497,0.857916,0.861031
0.023960939352138992,0.857916,0.861031
0.025325328388952472,0.851931,0.861031
0.02427705934041002,0.859064,0.861031
0.024483942264544496,0.859228,0.861031
0.024135537021741104,0.855948,0.861031
0.02469172313014108,0.857588,0.861031
0.028014148072747703,0.854964,0.861031
0.025301778856455612,0.858162,0.861031
0.026854001762596575,0.859064,0.861031
0.024348415136127996,0.856686,0.861031
0.02361302536368119,0.855456,0.861031
0.021996834236877354,0.857096,0.861031
0.026111971168370728,0.85849,0.861031
0.024582033401376074,0.855374,0.861031
0.02453644632288579,0.857178,0.861031
0.02381112803757358,0.857916,0.861031
0.023066898938686995,0.858326,0.861031
0.02182352752686384,0.8589,0.861031
0.02634765865448653,0.85808,0.861031
0.021383204214860885,0.860621,0.861031
0.027596671299046176,0.857834,0.861031
0.02376865158433074,0.856276,0.861031
0.02860656182354923,0.860457,0.861031
0.024009709586546326,0.858818,0.861031
0.02412524575555927,0.859556,0.861031
0.024525524106588256,0.857506,0.861031
0.02292973295722701,0.858162,0.861031
0.02841542005601726,0.859228,0.861031
0.022359801398778564,0.858162,0.861031
0.01892671084261677,0.858572,0.861031
0.022224407569829668,0.859638,0.861031
0.01976810618083966,0.859556,0.861031
0.02391268297234613,0.858654,0.861031
0.025131908983117745,0.858326,0.861031
0.02532850368094913,0.859474,0.861031
